,Unnamed: 0,molecule_chembl_id,class,canonical_smiles1,MW,LogP,NumHDonors,NumHAcceptors,pIC50
39,39,CHEMBL2418780,intermediate,COc1ccc(S(=O)(=O)Cc2nnc(-c3ccc4[nH]cnc4c3)s2)cc1OC,416.4840000000001,3.0725000000000007,1.0,8.0,6.2839966563652006
40,40,CHEMBL2418779,intermediate,COc1ccc(SCc2nnc(-c3ccc4[nH]cnc4c3)s2)cc1OC,384.48600000000016,4.390900000000002,1.0,7.0,7.154901959985743
41,41,CHEMBL2418778,inactive,FC(F)(F)c1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)s2)cc1,374.391,4.885400000000002,1.0,4.0,4.498940737782249
42,42,CHEMBL2418777,intermediate,Fc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)s2)c(F)c1,342.374,4.144800000000002,1.0,4.0,5.651695136951839
43,43,CHEMBL2418776,intermediate,c1nc2cc(-c3nnc(CCc4ccc5c(c4)OCO5)s3)ccc2[nH]1,350.403,3.5953000000000017,1.0,6.0,6.00436480540245
44,44,CHEMBL2418775,intermediate,COc1cccc(CCc2nnc(-c3ccc4[nH]cnc4c3)s2)c1OC,366.44600000000014,3.8838000000000026,1.0,6.0,6.154901959985743
45,45,CHEMBL2418774,intermediate,COc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)s2)c(OC)c1,366.44600000000014,3.8838000000000026,1.0,6.0,5.52432881167557
46,46,CHEMBL2418773,intermediate,COc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)s2)cc1OC,366.44600000000014,3.8838000000000026,1.0,6.0,6.136677139879544
47,47,CHEMBL2418772,intermediate,c1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)s2)cc1,306.39400000000006,3.8666000000000027,1.0,4.0,5.623423042943488
48,48,CHEMBL2418771,intermediate,FC(F)(F)c1ccc(C(F)(F)F)c(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)c1,426.32000000000005,5.435700000000003,1.0,4.0,4.570247719997592
